Table S1. The Gyeongju Hi-density Broadband Seismic Network (GHBSN) catalog,,,,,
EventID,Origin Time (UTC),Latitude (N),Longitude (E),Depth (km),Magnitude (ML)
334,2019-02-02T20:23:35.913,35.7866,129.2135,16.9,-0.4
335,2019-02-03T01:31:05.598,35.7674,129.2012,15.1,-0.3
336,2019-02-03T01:48:31.804,35.7402,129.2689,15.6,-0.1
337,2019-02-03T02:42:53.516,35.7653,129.1904,14.9,-0.1
338,2019-02-03T03:07:34.464,35.7633,129.1908,14.3,0.4
339,2019-02-03T06:45:23.661,35.763,129.1948,15.1,0.4
340,2019-02-03T09:06:17.264,35.8759,129.6253,18.6,1.4
341,2019-02-03T13:21:23.747,35.763,129.1915,14.6,0.4
342,2019-02-03T16:57:51.612,35.7951,129.3559,16.8,0.2
343,2019-02-03T17:24:54.896,35.7703,129.1855,17,0.1
344,2019-02-03T19:42:21.071,35.7699,129.1864,13.5,-0.4
345,2019-02-03T19:45:42.654,35.7644,129.2152,8.7,-0.4
346,2019-02-04T05:52:39.646,35.7921,129.3459,15.6,0.2
347,2019-02-04T06:00:18.822,35.7958,129.4028,15,0.2
348,2019-02-04T14:19:45.082,35.784,129.2054,13.4,2
349,2019-02-04T20:39:30.710,35.7585,129.1925,12.5,-0.5
350,2019-02-04T23:54:10.490,35.7905,129.3311,13.7,-0.2
351,2019-02-06T06:42:57.025,35.7521,129.3716,12,0.4
352,2019-02-06T06:58:37.813,35.7668,129.1778,16.8,-0.2
353,2019-02-06T12:09:08.076,35.7252,129.4068,13.6,0
354,2019-02-06T12:56:02.809,35.7267,129.4041,13.2,0.6
355,2019-02-06T13:11:00.404,35.726,129.4061,13.6,1.1
356,2019-02-06T13:11:48.812,35.7263,129.409,14,0
357,2019-02-06T14:01:33.906,35.7265,129.4038,13.3,0.4
358,2019-02-06T14:50:57.484,35.7279,129.4009,12.8,0.4
359,2019-02-06T16:15:18.104,35.7697,129.1926,12.2,-0.4
360,2019-02-06T17:42:12.623,35.7658,129.1905,14.2,-0.3
361,2019-02-06T18:24:30.409,35.7729,129.1721,12.4,1
362,2019-02-06T20:27:50.075,35.787,129.1912,12.7,-0.6
363,2019-02-06T21:09:37.710,35.9232,128.8916,10.9,0.5
364,2019-02-06T23:59:06.329,35.6669,129.4359,11.6,0.7
